?? [s],l01.dX [mm],l02.dX [mm],l03.dX [mm],l04.dX [mm],l05.dX [mm],l06.dX [mm],l07.dX [mm],l08.dX [mm],l09.dX [mm],l10.dX [mm],l11.dX [mm],l12.dX [mm],l13.dX [mm],l14.dX [mm],l15.dX [mm],l16.dX [mm],l17.dX [mm],l18.dX [mm],l19.dX [mm],l20.dX [mm],l21.dX [mm],l22.dX [mm],l23.dX [mm],l24.dX [mm],l25.dX [mm],l26.dX [mm],l27.dX [mm],l28.dX [mm],l29.dX [mm],l30.dX [mm],l31.dX [mm],l32.dX [mm],l33.dX [mm],l34.dX [mm],l35.dX [mm],l36.dX [mm],l37.dX [mm],l38.dX [mm],l39.dX [mm],l40.dX [mm],l41.dX [mm],l42.dX [mm],l43.dX [mm],l44.dX [mm],l45.dX [mm],l46.dX [mm],l47.dX [mm],l48.dX [mm],l49.dX [mm],l50.dX [mm],l51.dX [mm],l52.dX [mm],l53.dX [mm],l54.dX [mm],l01.dY [mm],l02.dY [mm],l03.dY [mm],l04.dY [mm],l05.dY [mm],l06.dY [mm],l07.dY [mm],l08.dY [mm],l09.dY [mm],l10.dY [mm],l11.dY [mm],l12.dY [mm],l13.dY [mm],l14.dY [mm],l15.dY [mm],l16.dY [mm],l17.dY [mm],l18.dY [mm],l19.dY [mm],l20.dY [mm],l21.dY [mm],l22.dY [mm],l23.dY [mm],l24.dY [mm],l25.dY [mm],l26.dY [mm],l27.dY [mm],l28.dY [mm],l29.dY [mm],l30.dY [mm],l31.dY [mm],l32.dY [mm],l33.dY [mm],l34.dY [mm],l35.dY [mm],l36.dY [mm],l37.dY [mm],l38.dY [mm],l39.dY [mm],l40.dY [mm],l41.dY [mm],l42.dY [mm],l43.dY [mm],l44.dY [mm],l45.dY [mm],l46.dY [mm],l47.dY [mm],l48.dY [mm],l49.dY [mm],l50.dY [mm],l51.dY [mm],l52.dY [mm],l53.dY [mm],l54.dY [mm],l01.dZ [mm],l02.dZ [mm],l03.dZ [mm],l04.dZ [mm],l05.dZ [mm],l06.dZ [mm],l07.dZ [mm],l08.dZ [mm],l09.dZ [mm],l10.dZ [mm],l11.dZ [mm],l12.dZ [mm],l13.dZ [mm],l14.dZ [mm],l15.dZ [mm],l16.dZ [mm],l17.dZ [mm],l18.dZ [mm],l19.dZ [mm],l20.dZ [mm],l21.dZ [mm],l22.dZ [mm],l23.dZ [mm],l24.dZ [mm],l25.dZ [mm],l26.dZ [mm],l27.dZ [mm],l28.dZ [mm],l29.dZ [mm],l30.dZ [mm],l31.dZ [mm],l32.dZ [mm],l33.dZ [mm],l34.dZ [mm],l35.dZ [mm],l36.dZ [mm],l37.dZ [mm],l38.dZ [mm],l39.dZ [mm],l40.dZ [mm],l41.dZ [mm],l42.dZ [mm],l43.dZ [mm],l44.dZ [mm],l45.dZ [mm],l46.dZ [mm],l47.dZ [mm],l48.dZ [mm],l49.dZ [mm],l50.dZ [mm],l51.dZ [mm],l52.dZ [mm],l53.dZ [mm],l54.dZ [mm]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144.704786,-0.010938,-0.011664,-0.011481,-0.011374,-0.011626,-0.012079,-0.011985,-0.011651,-0.012136,-0.012001,-0.012066,-0.01189,-0.01167,-0.011201,-0.011038,-0.011365,-0.01188,-0.01148,-0.011756,-0.011976,-0.011981,-0.011843,-0.011353,-0.011831,-0.012175,-0.012031,-0.012088,-0.010998,-0.011431,-0.010728,-0.01203,-0.011298,-0.010854,-0.011506,-0.011622,-0.01158,-0.010992,-0.011804,-0.011851,-0.011824,-0.011275,-0.011519,-0.011384,-0.01128,-0.011353,-0.011794,-0.011592,-0.011618,-0.01152,-0.011545,-0.01192,-0.012053,-0.012248,-0.011639,-0.01986,-0.020414,-0.020599,-0.020539,-0.020549,-0.020789,-0.020728,-0.020785,-0.021061,-0.020946,-0.021114,-0.021674,-0.021342,-0.021681,-0.02143,-0.022082,-0.022014,-0.02213,-0.022438,-0.022609,-0.022415,-0.021529,-0.022855,-0.023036,-0.023179,-0.023007,-0.0232,-0.019683,-0.020004,-0.019884,-0.020391,-0.0208,-0.020431,-0.021082,-0.020984,-0.021509,-0.021154,-0.020597,-0.02165,-0.021198,-0.021843,-0.022034,-0.022552,-0.021956,-0.02226,-0.022028,-0.022441,-0.022814,-0.022821,-0.022874,-0.02255,-0.022503,-0.023321,-0.022453,-0.006672,-0.010772,-0.010051,-0.007203,-0.008405,-0.009404,-0.00906,-0.008103,-0.009631,-0.009437,-0.008502,-0.00836,-0.010346,-0.008933,-0.008751,-0.007592,-0.008179,-0.008588,-0.007766,-0.006917,-0.00635,-0.008767,-0.008422,-0.008593,-0.006735,-0.005794,-0.009457,-0.006792,-0.01116,-0.008955,-0.009112,-0.009024,-0.008545,-0.006592,-0.008277,-0.00966,-0.008514,-0.006329,-0.013261,-0.008547,-0.008488,-0.008453,-0.009563,-0.009622,-0.007313,-0.006876,-0.008352,-0.007808,-0.007747,-0.008376,-0.008225,-0.00958,-0.006789,-0.009997
144.954786,-0.008023,-0.008393,-0.008419,-0.008126,-0.008595,-0.00862,-0.008571,-0.008597,-0.009195,-0.008774,-0.008917,-0.009084,-0.009036,-0.008536,-0.008429,-0.008625,-0.008895,-0.008651,-0.00865,-0.008946,-0.008609,-0.008316,-0.008204,-0.008598,-0.008563,-0.008304,-0.008243,-0.008025,-0.008514,-0.008046,-0.00868,-0.008231,-0.007945,-0.008273,-0.008608,-0.008496,-0.008351,-0.009319,-0.008969,-0.008587,-0.008736,-0.008404,-0.008471,-0.008719,-0.008486,-0.008372,-0.008701,-0.00807,-0.008299,-0.008249,-0.008362,-0.0086,-0.008421,-0.008466,-0.041696,-0.042199,-0.042266,-0.041877,-0.04242,-0.04245,-0.04241,-0.042182,-0.042324,-0.042433,-0.042923,-0.043086,-0.042771,-0.043099,-0.043324,-0.04348,-0.043632,-0.043736,-0.044125,-0.04383,-0.043986,-0.043997,-0.044085,-0.044605,-0.045085,-0.044617,-0.044745,-0.041689,-0.042035,-0.04218,-0.042025,-0.042918,-0.041973,-0.042532,-0.042847,-0.043238,-0.042669,-0.042773,-0.043244,-0.043168,-0.043409,-0.043375,-0.043869,-0.043392,-0.043713,-0.043746,-0.044122,-0.044442,-0.04445,-0.044358,-0.044587,-0.044375,-0.044814,-0.044868,-0.011306,-0.011607,-0.014075,-0.011188,-0.012583,-0.010863,-0.011988,-0.011344,-0.012761,-0.012745,-0.01173,-0.011505,-0.012477,-0.010788,-0.01095,-0.010208,-0.010404,-0.010568,-0.01187,-0.010851,-0.009477,-0.013914,-0.01074,-0.012018,-0.011407,-0.009726,-0.012264,-0.009235,-0.013139,-0.012668,-0.012084,-0.011959,-0.013196,-0.011007,-0.010364,-0.012699,-0.011246,-0.010065,-0.013532,-0.011715,-0.010463,-0.010894,-0.012433,-0.012597,-0.011349,-0.011203,-0.010507,-0.011087,-0.011689,-0.012296,-0.012721,-0.011692,-0.009847,-0.010613
145.204786,-0.050489,-0.051101,-0.051026,-0.050854,-0.051451,-0.051687,-0.051671,-0.051375,-0.051799,-0.051771,-0.051597,-0.051655,-0.051678,-0.051518,-0.051133,-0.051196,-0.051445,-0.051718,-0.052029,-0.051809,-0.051729,-0.051654,-0.051523,-0.052135,-0.052032,-0.052056,-0.051913,-0.050663,-0.051507,-0.050468,-0.051139,-0.050995,-0.050563,-0.050658,-0.051135,-0.051205,-0.050584,-0.051248,-0.051359,-0.050603,-0.051139,-0.050414,-0.050983,-0.051269,-0.051099,-0.051395,-0.051515,-0.051064,-0.051409,-0.051533,-0.051334,-0.051628,-0.051736,-0.051524,-0.031282,-0.032084,-0.032703,-0.033036,-0.033807,-0.0353,-0.035155,-0.036123,-0.036529,-0.037126,-0.037894,-0.038861,-0.039834,-0.040582,-0.041104,-0.041874,-0.042934,-0.043083,-0.044473,-0.044556,-0.045632,-0.046117,-0.047155,-0.047782,-0.048784,-0.049172,-0.049572,-0.031148,-0.031984,-0.031976,-0.033013,-0.034703,-0.034748,-0.03571,-0.036279,-0.037146,-0.037723,-0.038111,-0.039398,-0.039968,-0.040374,-0.041521,-0.042383,-0.042999,-0.043682,-0.044452,-0.044966,-0.045727,-0.046814,-0.04708,-0.047772,-0.048261,-0.048915,-0.049271,-0.011489,-0.013663,-0.01455,-0.01271,-0.01351,-0.013791,-0.014857,-0.013535,-0.014492,-0.014715,-0.01457,-0.014295,-0.015393,-0.014443,-0.013861,-0.01378,-0.013697,-0.014646,-0.014274,-0.014787,-0.014244,-0.016778,-0.016281,-0.017354,-0.01639,-0.016095,-0.018087,-0.010395,-0.012791,-0.012624,-0.011793,-0.013672,-0.014538,-0.013554,-0.012556,-0.015088,-0.013483,-0.013166,-0.016231,-0.014607,-0.013046,-0.014965,-0.015287,-0.015972,-0.016076,-0.013856,-0.016112,-0.015868,-0.017539,-0.016961,-0.017646,-0.018109,-0.017803,-0.017488
145.454786,-0.078667,-0.07948,-0.079367,-0.078979,-0.079406,-0.080296,-0.079998,-0.080058,-0.079963,-0.080224,-0.080294,-0.080359,-0.080299,-0.080287,-0.0804,-0.080169,-0.080722,-0.080607,-0.080826,-0.080428,-0.08064,-0.080259,-0.080696,-0.080818,-0.081022,-0.080979,-0.080926,-0.078699,-0.079202,-0.078002,-0.079635,-0.078984,-0.078788,-0.079134,-0.079088,-0.079287,-0.079163,-0.079369,-0.079654,-0.078951,-0.079805,-0.079228,-0.079493,-0.079899,-0.079421,-0.079682,-0.079842,-0.079584,-0.079933,-0.080172,-0.080176,-0.080555,-0.081168,-0.080189,-0.021047,-0.022451,-0.024267,-0.025204,-0.02577,-0.027319,-0.02798,-0.029218,-0.030009,-0.030718,-0.032265,-0.034004,-0.034791,-0.035881,-0.036939,-0.038045,-0.039138,-0.03986,-0.041735,-0.042268,-0.043598,-0.044973,-0.045657,-0.04745,-0.048546,-0.049597,-0.050113,-0.021269,-0.022451,-0.023347,-0.025316,-0.026695,-0.026919,-0.028243,-0.02926,-0.030426,-0.031475,-0.032484,-0.034278,-0.03476,-0.036046,-0.037071,-0.038631,-0.039042,-0.04056,-0.041591,-0.04247,-0.043799,-0.044702,-0.046344,-0.04719,-0.047928,-0.048886,-0.049506,-0.003907,-0.006086,-0.005921,-0.005084,-0.007221,-0.00712,-0.005516,-0.007738,-0.01065,-0.009252,-0.00871,-0.010026,-0.010088,-0.01089,-0.011909,-0.010684,-0.010866,-0.011553,-0.012094,-0.012321,-0.011276,-0.014839,-0.012089,-0.013664,-0.013675,-0.012976,-0.015956,-0.002923,-0.008541,-0.007489,-0.005075,-0.007978,-0.006287,-0.008282,-0.007911,-0.007224,-0.009618,-0.007868,-0.01076,-0.010542,-0.009925,-0.009755,-0.011131,-0.010836,-0.011984,-0.012882,-0.013326,-0.013757,-0.01306,-0.014001,-0.014031,-0.014381,-0.013555,-0.014572
145.704786,-0.088525,-0.088516,-0.089197,-0.088913,-0.089362,-0.089412,-0.089657,-0.089888,-0.089915,-0.09001,-0.089898,-0.090141,-0.090079,-0.089602,-0.08988,-0.089894,-0.090169,-0.089946,-0.090981,-0.090632,-0.090862,-0.090694,-0.090198,-0.090509,-0.091238,-0.091356,-0.091313,-0.088046,-0.088388,-0.087861,-0.088902,-0.088535,-0.088806,-0.088511,-0.089068,-0.089108,-0.088495,-0.088943,-0.089673,-0.088867,-0.088983,-0.089114,-0.088741,-0.089259,-0.08958,-0.090119,-0.090037,-0.08968,-0.090014,-0.090274,-0.090113,-0.090348,-0.09093,-0.08996,-0.039392,-0.04041,-0.042252,-0.043081,-0.043909,-0.045503,-0.046358,-0.048048,-0.049105,-0.050255,-0.051484,-0.053647,-0.054253,-0.055346,-0.056775,-0.05781,-0.059504,-0.060183,-0.061772,-0.062625,-0.063703,-0.064469,-0.066265,-0.067695,-0.069229,-0.070135,-0.07075,-0.03982,-0.040871,-0.042023,-0.043096,-0.044444,-0.045388,-0.046824,-0.048333,-0.049279,-0.050351,-0.051422,-0.053136,-0.054575,-0.055634,-0.056579,-0.058147,-0.05955,-0.060875,-0.061795,-0.062665,-0.064033,-0.065122,-0.066332,-0.067277,-0.06862,-0.070019,-0.070179,-0.01993,-0.021639,-0.022615,-0.021954,-0.023664,-0.022393,-0.022561,-0.024257,-0.025732,-0.02486,-0.026045,-0.027398,-0.0276,-0.028347,-0.027591,-0.027845,-0.02818,-0.030692,-0.027554,-0.02897,-0.028695,-0.031642,-0.031613,-0.033514,-0.031532,-0.030298,-0.034144,-0.01931,-0.022059,-0.02342,-0.020026,-0.022611,-0.021497,-0.022456,-0.024972,-0.024374,-0.023407,-0.026193,-0.028726,-0.028398,-0.028191,-0.028088,-0.028517,-0.029213,-0.030009,-0.030556,-0.030773,-0.031013,-0.031498,-0.030383,-0.032701,-0.033668,-0.031046,-0.032942
145.954786,-0.101116,-0.101489,-0.101384,-0.101493,-0.101401,-0.101952,-0.102117,-0.102121,-0.102704,-0.10284,-0.102715,-0.102673,-0.102683,-0.102385,-0.102676,-0.102624,-0.10313,-0.10301,-0.103501,-0.103611,-0.103499,-0.103088,-0.10318,-0.103613,-0.103876,-0.103972,-0.103837,-0.100632,-0.101264,-0.100565,-0.101156,-0.100961,-0.100715,-0.101236,-0.101504,-0.101573,-0.101409,-0.10186,-0.101797,-0.101411,-0.101692,-0.101855,-0.101726,-0.102278,-0.102344,-0.102855,-0.102729,-0.102627,-0.102447,-0.102871,-0.102667,-0.102978,-0.103325,-0.103129,-0.044379,-0.045735,-0.047386,-0.048773,-0.049543,-0.05108,-0.051989,-0.053937,-0.055406,-0.056426,-0.058302,-0.060293,-0.061306,-0.062198,-0.063435,-0.065295,-0.066998,-0.067777,-0.06964,-0.070615,-0.071891,-0.072897,-0.074866,-0.076595,-0.077654,-0.078673,-0.080142,-0.044297,-0.045935,-0.046926,-0.048205,-0.049923,-0.051113,-0.052795,-0.054225,-0.05592,-0.057223,-0.057853,-0.059814,-0.06159,-0.063104,-0.063922,-0.065879,-0.066769,-0.068416,-0.069773,-0.07077,-0.072328,-0.073611,-0.074798,-0.076046,-0.077111,-0.07884,-0.079845,-0.031903,-0.034606,-0.035552,-0.034135,-0.036627,-0.036981,-0.035568,-0.037278,-0.040186,-0.038038,-0.041603,-0.041625,-0.043117,-0.041355,-0.04313,-0.041864,-0.044483,-0.044169,-0.044684,-0.043548,-0.044725,-0.047308,-0.047203,-0.048813,-0.047447,-0.048236,-0.050735,-0.032049,-0.037483,-0.033817,-0.034438,-0.036685,-0.037445,-0.038016,-0.036978,-0.038198,-0.037606,-0.038884,-0.043462,-0.042432,-0.041015,-0.042923,-0.043159,-0.043937,-0.044307,-0.043994,-0.045214,-0.045888,-0.046614,-0.047748,-0.048542,-0.05007,-0.049199,-0.049215
146.204786,-0.109832,-0.110256,-0.110107,-0.110368,-0.110611,-0.111018,-0.111109,-0.111135,-0.111986,-0.111508,-0.11131,-0.111875,-0.111553,-0.111524,-0.111537,-0.111903,-0.112585,-0.112211,-0.112425,-0.112624,-0.112837,-0.112697,-0.112359,-0.112652,-0.113323,-0.113426,-0.112864,-0.109546,-0.109782,-0.10904,-0.110031,-0.109738,-0.109782,-0.110028,-0.109801,-0.110467,-0.11068,-0.110753,-0.110678,-0.110836,-0.110264,-0.110728,-0.110658,-0.111317,-0.111151,-0.111549,-0.111617,-0.111426,-0.111681,-0.112145,-0.111778,-0.112523,-0.112688,-0.112195,-0.040613,-0.041891,-0.043464,-0.045119,-0.046423,-0.047753,-0.049159,-0.050945,-0.052912,-0.053732,-0.055598,-0.057839,-0.058933,-0.059884,-0.061629,-0.063154,-0.064728,-0.066018,-0.067839,-0.069358,-0.070837,-0.071211,-0.073355,-0.075171,-0.076636,-0.07758,-0.079331,-0.04083,-0.042277,-0.043315,-0.044993,-0.046612,-0.047993,-0.050043,-0.051375,-0.053483,-0.054049,-0.055594,-0.057819,-0.059036,-0.060933,-0.062012,-0.064151,-0.065183,-0.067075,-0.068135,-0.069004,-0.071022,-0.072175,-0.073695,-0.074635,-0.07594,-0.077849,-0.07883,-0.02721,-0.029024,-0.0294,-0.030817,-0.030548,-0.032105,-0.031851,-0.032157,-0.036313,-0.035077,-0.034664,-0.037074,-0.037288,-0.038075,-0.041691,-0.039592,-0.038896,-0.041616,-0.040221,-0.043385,-0.042965,-0.043683,-0.044169,-0.045802,-0.044965,-0.043363,-0.048694,-0.024595,-0.030699,-0.02911,-0.029852,-0.031683,-0.033206,-0.032623,-0.031766,-0.034727,-0.036447,-0.034376,-0.039311,-0.0382,-0.037934,-0.040631,-0.04069,-0.04104,-0.040811,-0.041965,-0.04304,-0.042923,-0.043935,-0.043773,-0.04602,-0.046423,-0.046956,-0.046984
146.454786,-0.120441,-0.120697,-0.120805,-0.120919,-0.121044,-0.12183,-0.121701,-0.121772,-0.121908,-0.122375,-0.12197,-0.122528,-0.122332,-0.122206,-0.122255,-0.12227,-0.123187,-0.122814,-0.123231,-0.123121,-0.123159,-0.123346,-0.12319,-0.123762,-0.123904,-0.124318,-0.123501,-0.119812,-0.119963,-0.119549,-0.120263,-0.120377,-0.120018,-0.120958,-0.120767,-0.121008,-0.120903,-0.12146,-0.121473,-0.121242,-0.121427,-0.121466,-0.121247,-0.121494,-0.12196,-0.121997,-0.122004,-0.121619,-0.122171,-0.122971,-0.122613,-0.123281,-0.123035,-0.122613,-0.054973,-0.056707,-0.058966,-0.060635,-0.061446,-0.063734,-0.064635,-0.066855,-0.068316,-0.069787,-0.071202,-0.073515,-0.074935,-0.076472,-0.077623,-0.079683,-0.081342,-0.082927,-0.084718,-0.086428,-0.08822,-0.089097,-0.090919,-0.093145,-0.095029,-0.09639,-0.097425,-0.055801,-0.057015,-0.058042,-0.060795,-0.061683,-0.063412,-0.064941,-0.066878,-0.068705,-0.070065,-0.070984,-0.073776,-0.074966,-0.076868,-0.078626,-0.080487,-0.081423,-0.083795,-0.085255,-0.086512,-0.088225,-0.089661,-0.091085,-0.092905,-0.093839,-0.095842,-0.096829,-0.03974,-0.041855,-0.044088,-0.044344,-0.043396,-0.046079,-0.044979,-0.046036,-0.049183,-0.049991,-0.05092,-0.049248,-0.050744,-0.05162,-0.053713,-0.053018,-0.052799,-0.054413,-0.055273,-0.055868,-0.055152,-0.058179,-0.057617,-0.059559,-0.059037,-0.057718,-0.061583,-0.041077,-0.044229,-0.044727,-0.044321,-0.045345,-0.045158,-0.046379,-0.045642,-0.047847,-0.04935,-0.048501,-0.051364,-0.049173,-0.050917,-0.052287,-0.055195,-0.05477,-0.053744,-0.056911,-0.057774,-0.057641,-0.058591,-0.057829,-0.059423,-0.058844,-0.059332,-0.060954
146.704786,-0.134697,-0.134755,-0.135203,-0.134915,-0.135236,-0.135875,-0.135932,-0.1363,-0.136036,-0.13611,-0.136261,-0.136551,-0.136576,-0.136302,-0.136188,-0.136589,-0.136982,-0.136779,-0.137334,-0.137758,-0.13732,-0.137347,-0.137488,-0.137506,-0.137946,-0.138245,-0.137994,-0.133705,-0.133906,-0.133516,-0.134751,-0.134289,-0.134421,-0.134276,-0.134549,-0.135125,-0.134496,-0.135436,-0.1355,-0.135126,-0.135658,-0.135347,-0.135291,-0.135789,-0.1355,-0.136111,-0.136255,-0.135914,-0.136074,-0.136906,-0.136603,-0.137168,-0.137233,-0.137018,-0.054672,-0.056344,-0.059326,-0.06068,-0.062028,-0.064295,-0.06499,-0.067554,-0.069063,-0.070516,-0.072257,-0.075041,-0.076556,-0.077926,-0.079695,-0.081459,-0.083522,-0.085167,-0.087141,-0.088838,-0.090476,-0.091805,-0.094033,-0.096248,-0.097991,-0.099318,-0.100275,-0.05515,-0.057202,-0.058508,-0.060841,-0.062143,-0.064007,-0.065614,-0.067422,-0.069258,-0.070876,-0.071989,-0.07467,-0.076236,-0.078286,-0.080142,-0.082433,-0.083694,-0.085934,-0.087219,-0.088946,-0.090869,-0.092508,-0.094402,-0.095816,-0.09737,-0.098956,-0.10024,-0.051114,-0.052631,-0.053288,-0.053001,-0.055277,-0.055903,-0.055407,-0.056667,-0.05849,-0.059311,-0.059399,-0.059543,-0.062315,-0.061589,-0.061437,-0.06051,-0.063046,-0.063758,-0.065315,-0.066523,-0.065407,-0.067611,-0.067559,-0.071753,-0.070123,-0.068803,-0.073388,-0.047969,-0.053543,-0.055737,-0.054326,-0.055712,-0.056018,-0.056031,-0.056723,-0.057662,-0.058301,-0.058506,-0.061385,-0.061702,-0.059676,-0.063795,-0.064218,-0.064521,-0.065357,-0.065448,-0.06706,-0.068476,-0.069154,-0.06903,-0.070705,-0.071163,-0.071104,-0.071538
146.954786,-0.145592,-0.146127,-0.146197,-0.146274,-0.146265,-0.147135,-0.146649,-0.147398,-0.147398,-0.147559,-0.147339,-0.147599,-0.147898,-0.14779,-0.148284,-0.148082,-0.148577,-0.148643,-0.148637,-0.148895,-0.14872,-0.148795,-0.148784,-0.14899,-0.14974,-0.149803,-0.149562,-0.144947,-0.145406,-0.144514,-0.146225,-0.145447,-0.145759,-0.14558,-0.145964,-0.146293,-0.146159,-0.146253,-0.146791,-0.146513,-0.146518,-0.146542,-0.146896,-0.147099,-0.147005,-0.147728,-0.147794,-0.147479,-0.147927,-0.148634,-0.148064,-0.148217,-0.14895,-0.148311,-0.060393,-0.061924,-0.064776,-0.066389,-0.067554,-0.069841,-0.070992,-0.073456,-0.074904,-0.07656,-0.078628,-0.081423,-0.082973,-0.084602,-0.086482,-0.088201,-0.090618,-0.091745,-0.094542,-0.095896,-0.097984,-0.099393,-0.101583,-0.103758,-0.105608,-0.106886,-0.108557,-0.060257,-0.061931,-0.063571,-0.065857,-0.067884,-0.069016,-0.071466,-0.073183,-0.07508,-0.076861,-0.078427,-0.081201,-0.082632,-0.084775,-0.08684,-0.089226,-0.090553,-0.092934,-0.09465,-0.096064,-0.098188,-0.100071,-0.101795,-0.103611,-0.105109,-0.107182,-0.107565,-0.058818,-0.059245,-0.060938,-0.059277,-0.061008,-0.060988,-0.060604,-0.062268,-0.065899,-0.064725,-0.0655,-0.06577,-0.068037,-0.067529,-0.06857,-0.069046,-0.070707,-0.071063,-0.071928,-0.072679,-0.073937,-0.077044,-0.076012,-0.078224,-0.076543,-0.078298,-0.08152,-0.053589,-0.060439,-0.058958,-0.057938,-0.060776,-0.060344,-0.062081,-0.062654,-0.062138,-0.064989,-0.065839,-0.066706,-0.067652,-0.066527,-0.070067,-0.069062,-0.072003,-0.071492,-0.072192,-0.07346,-0.074264,-0.074274,-0.077312,-0.077658,-0.079468,-0.076897,-0.079273
147.204786,-0.152162,-0.152983,-0.152827,-0.153195,-0.153361,-0.154202,-0.153928,-0.153837,-0.154396,-0.154494,-0.154323,-0.154753,-0.154693,-0.15459,-0.155047,-0.154763,-0.155503,-0.155167,-0.155681,-0.155846,-0.155621,-0.155701,-0.155294,-0.155784,-0.156666,-0.156462,-0.156439,-0.151152,-0.152301,-0.151228,-0.153158,-0.152383,-0.152369,-0.152867,-0.152976,-0.152996,-0.152936,-0.153794,-0.153662,-0.153166,-0.153577,-0.153438,-0.153663,-0.15385,-0.153772,-0.154449,-0.154658,-0.154242,-0.154552,-0.155216,-0.154924,-0.155454,-0.15584,-0.155141,-0.067881,-0.069427,-0.071887,-0.073542,-0.074611,-0.077167,-0.078473,-0.080656,-0.082339,-0.084022,-0.086012,-0.089085,-0.090709,-0.092343,-0.094363,-0.096023,-0.09835,-0.099588,-0.101872,-0.103897,-0.105754,-0.106815,-0.10907,-0.111442,-0.113579,-0.114873,-0.116235,-0.067533,-0.069286,-0.070786,-0.072972,-0.075593,-0.076872,-0.078689,-0.080783,-0.083069,-0.084609,-0.085953,-0.089051,-0.090999,-0.092498,-0.094421,-0.096866,-0.098381,-0.10078,-0.102746,-0.103714,-0.105767,-0.107633,-0.109693,-0.111166,-0.112672,-0.114972,-0.115436,-0.053899,-0.055751,-0.057617,-0.058455,-0.059193,-0.0605,-0.058985,-0.061215,-0.063984,-0.063372,-0.06498,-0.065514,-0.066192,-0.065949,-0.069534,-0.06689,-0.067417,-0.07048,-0.069094,-0.070603,-0.070805,-0.075006,-0.072472,-0.075777,-0.075303,-0.07691,-0.078184,-0.051386,-0.056875,-0.056705,-0.057363,-0.059211,-0.061757,-0.060385,-0.059594,-0.063014,-0.064305,-0.063785,-0.066563,-0.067014,-0.065066,-0.067386,-0.068883,-0.068634,-0.07007,-0.069344,-0.070862,-0.071299,-0.072766,-0.074055,-0.076273,-0.07774,-0.076187,-0.076252
147.454786,-0.158559,-0.158623,-0.158945,-0.15927,-0.159731,-0.160028,-0.159702,-0.159507,-0.160443,-0.160318,-0.159807,-0.160468,-0.160353,-0.160171,-0.160546,-0.160719,-0.161049,-0.160935,-0.161127,-0.161527,-0.161302,-0.161443,-0.161236,-0.161761,-0.162578,-0.162577,-0.162272,-0.157636,-0.158081,-0.157497,-0.158556,-0.158528,-0.158013,-0.158294,-0.158458,-0.158816,-0.158973,-0.15959,-0.159116,-0.159451,-0.158978,-0.15941,-0.159314,-0.159692,-0.159825,-0.160214,-0.160292,-0.159899,-0.16028,-0.16066,-0.160646,-0.161141,-0.161075,-0.160653,-0.079193,-0.080844,-0.083158,-0.08456,-0.086326,-0.08842,-0.089865,-0.092043,-0.093913,-0.095829,-0.097878,-0.100571,-0.102107,-0.103466,-0.10552,-0.107473,-0.109532,-0.110935,-0.113229,-0.115221,-0.116708,-0.117537,-0.120344,-0.122491,-0.124549,-0.125941,-0.128281,-0.078964,-0.080626,-0.082202,-0.084074,-0.086424,-0.088513,-0.09001,-0.092144,-0.094702,-0.096126,-0.097127,-0.100365,-0.102194,-0.104331,-0.105613,-0.108209,-0.10926,-0.11208,-0.113575,-0.115007,-0.116765,-0.118924,-0.120741,-0.121958,-0.124119,-0.125867,-0.127111,-0.054408,-0.054909,-0.05633,-0.056957,-0.058312,-0.058868,-0.059002,-0.060057,-0.061521,-0.061626,-0.06257,-0.064536,-0.064603,-0.066072,-0.068123,-0.066891,-0.067063,-0.069176,-0.069027,-0.070093,-0.068805,-0.072908,-0.072291,-0.074428,-0.074961,-0.073845,-0.077964,-0.051848,-0.056466,-0.056826,-0.056399,-0.058991,-0.058906,-0.059288,-0.060111,-0.061995,-0.062425,-0.060622,-0.065647,-0.0647,-0.066239,-0.06662,-0.066316,-0.067972,-0.069544,-0.069955,-0.070931,-0.070378,-0.071518,-0.073033,-0.075122,-0.075421,-0.07585,-0.076762
